title,job_industry,date_posted,job_description,job_keyInfo
About RWK & Associates CPA-K,,,,
Software Engineer Intern,"View Jobs in Banking / Financial Services
/
View Jobs at RWK & Associates CPA-K","Posted: Jun 18, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We are a registered medium sized firm of Certified Public Accountants that is fully committed to provision of cost effective and unparalleled professional services to all sectors of our economy that not only conforms to but also meets and exceeds our client’s expectations.

Read more about this company
 

Software Engineer Intern


Job Type Contract
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp , Internships / Volunteering&nbsp



Role Description
Are you a driven and talented undergraduate student or a recent graduate with a passion for software development? Are you seeking an opportunity to apply your skills in a real-world setting, working with a dynamic team of industry experts? Our Technology Internship Program offers a unique opportunity to immerse yourself in the world of software development, gaining hands-on experience with industry-leading technologies while contributing to the development of our next-generation accounting software.
Key Responsibilities:

Collaborate with an experienced development team to design, develop, and deploy software solutions using cutting-edge technologies such as Express.js, Next.js, and PostgreSQL.
Participate in all phases of the software development lifecycle, from requirements gathering and design to implementation, testing, and deployment.
Contribute to the development of new features, modules, and functionalities, ensuring high quality, performance, and scalability.
Work closely with cross-functional teams, including product management, design, and QA, to deliver innovative solutions that meet customer needs and exceed expectations.
Embrace a culture of continuous learning and growth, actively seeking opportunities to expand your technical skills and knowledge.

Qualifications:

Currently enrolled or a recent graduate with a bachelor's degree in Computer Science, Software Engineering, or a related field.
Strong programming skills and proficiency in JavaScript, with experience or coursework in web development frameworks such as Express.js and Next.js.
Familiarity with database technologies such as PostgreSQL and experience with SQL.
Excellent problem-solving abilities, attention to detail, and a passion for learning and innovation.
Strong communication and collaboration skills, with the ability to work effectively in a team environment.

Benefits:

Hands-on experience with cutting-edge technologies and real-world software development projects.
Mentorship and guidance from experienced professionals in the industry.
Opportunity to make a meaningful impact and contribute to the development of a market-leading software solution.
Flexible work arrangements and the possibility of remote work.
Competitive compensation package and potential for future full-time employment opportunities.








Method of Application 

Are you ready to take the next step in your software development journey? Apply now to join our Technology Internship Program and embark on an exciting adventure with Us.
To apply, Send a Cover Letter and a copy of your CV together with samples of your work to hr@rwkassociates.co.ke. The deadline for applications is 30th June 2024.


Build your CV for free. Download in different templates.","Job Type Contract
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp , Internships / Volunteering&nbsp"
About Yashio Kenya,,,,
Software Engineer,"View Jobs in ICT / Telecommunication
/
View Jobs at Yashio Kenya","Posted: Jun 15, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
At Yashio Kenya, our vision is to enable individuals worldwide to shape their own futures. We understand that in today's fast-paced world, continuous learning is essential. The current education system falls short, leaving many people unprepared for life's challenges. We believe that tackling issues like poverty, conflict, and environmental destruction start...

Read more about this company
 

Software Engineer


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp



What Awaits You
As a Software Engineer, you'll be part of our dynamic web application development team. This is your opportunity to engage with diverse projects, from small-scale gems to grand innovations, all while gaining invaluable practical experience and refining your skills. Your role will encompass:

Crafting Web APIs, Web front-end applications, and native apps.
Orchestrating system designs and project management.
Architecting seamless API interfaces and conducting thorough unit tests.
Delving into user behavior data, extracting insights, and driving system enhancements.
Collaborating with our management team to shape and execute technical business strategies.

What We Bring to Your Table 

Enjoy a monthly gross salary of Ksh. 20,000, plus performance-based commissions.
Unlock the possibility of permanent employment after three months, contingent on your exceptional performance.
Benefit from unwavering support provided by our professional international team, dedicated to your growth and development.
Access a well-equipped development environment, complete with a PC and Monitor sporting ample specs.
Immerse yourself in a diverse array of projects and technologies to elevate your skill set.

Who We're Looking For 
To be eligible for this job, you should meet the following criteria:

Be ready to commit to full-time engagement.
Currently enrolled or completed from a recognized public or private higher education institution.
Hold a degree obtained within the past year or be able to provide a letter confirming your enrollment.
Possess strong written and verbal communication skills.








Method of Application 

Interested and qualified? Go to Yashio Kenya on www.linkedin.com to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Canonical,,,,
C++ Graphics and Windowing System Software Engineer - Mir,"View Jobs in ICT / Telecommunication
/
View Jobs at Canonical","Posted: Jun 13, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.

Read more about this company
 

C++ Graphics and Windowing System Software Engineer - Mir


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp




This is an excellent opportunity for someone who wants to have a meaningful impact on modern display technologies that will impact millions of developers. Canonical offers a fast-paced team environment and a career full of learning and development opportunities across the open source spectrum.

What you will do

Design and implement features across the Mir stack
Assist in debugging, tracking down and fixing issues
Improve tests and performance benchmarks to catch issues early
Create documentation to enhance the developer experience
Engage with the open source community and commercial partners
Collaborate proactively with a distributed team

Required Skills And Experience

You have excellent, modern C++ programming taste
You have a rigorous approach to software design, development and testing
You have a solid understanding of asynchronous programming and concurrency patterns
You have strong written and verbal communication skills to document and present software developed
You are productive collaborating remotely and are highly motivated and organized
You are familiar with Linux as a development and deployment platform
You have proven ability to consistently deliver robust code to production
Bachelor's or equivalent in Computer Science, STEM or similar degree

Desirable Skills And Experience

Experience with the Wayland protocol ecosystem and compositors
Familiarity with a range of Linux Desktop Environments
Familiarity with OpenGL, Vulkan, and other graphics and animation frameworks
You have experience developing and deploying on a Ubuntu/Debian system








Method of Application 

Interested and qualified? Go to Canonical on boards.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Canonical,,,,
Software Engineer - Immutable Ubuntu Desktop,"View Jobs in ICT / Telecommunication
/
View Jobs at Canonical","Posted: Jun 13, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.

Read more about this company
 

Software Engineer - Immutable Ubuntu Desktop


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp




As a Software Engineer on the Core Desktop team, you'll join a dedicated team of professionals to build the next generation of immutable Ubuntu desktop. Our goal is to put Linux desktops back at the forefront of security, reliability and usability. In this project we combine the best ideas of immutable Linux with the latest Linux desktop experience to bring our global ecosystem of developers a much better platform for innovation. We mostly code in system languages such as Rust, C and C++, we also occasionally use Python and Dart / Flutter. This role offers a unique opportunity to grow and learn in a fast-paced environment. Your contributions, guided by more experienced team members, will be essential in shaping the future of Ubuntu's Core Desktop.

Location: This this is a home-based position on a team in the EMEA region.
What your day will look like

Design and develop elements of the Core Desktop.
Work with the latest Linux container technologies - kernel namespaces, cgroups, apparmour, seccomp and more
Write high quality, defensive and performant code for millions of demanding daily users
Collaborate with team members to understand the intricacies of immutable desktops.
Participate in code reviews to gain a deep understanding of quality standards and architecture.
Engage with the Ubuntu community to gather user feedback and insights.
Contribute to documentation to aid in your learning and that of future team members.
Take part in regular team meetings to discuss progress, challenges, and upcoming development sprints.
Troubleshoot and resolve user-reported issues, gaining experience in debugging and problem-solving.

What we are looking for in you

Outstanding academic results
An undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path.
An understanding of software development methodologies and life cycles.
A passion for technology and a drive to work with intelligent, motivated colleagues.
Willingness to learn and adapt, with a keen interest in the challenges of immutable desktop environments.
Skills in Linux containerisation technologies - kernel namespaces, cgroups, apparmour, or seccomp
Skills in Linux desktop environments - XDG portals, free desktop specifications, systemd, GRUB etc.
Skills in Rust, Golang, Python or C.
Good communication skills for both internal and external interactions.
Ability to travel twice a year, for company events up to two weeks long.

Additional Skills That You Might Also Bring

Initiative to proactively identify opportunities and solve challenges.
Curiosity, flexibility, and a strong sense of accountability.
A focus on soft skills, including passion, enterprise, and self-motivation.








Method of Application 

Interested and qualified? Go to Canonical on boards.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Canonical,,,,
System Software Engineer - Ubuntu Networking,"View Jobs in ICT / Telecommunication
/
View Jobs at Canonical","Posted: Jun 13, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
We deliver open source to the world faster, more securely and more cost effectively than any other company. If you're interested in a career at Canonical, we are a remote-first company so please apply to any suitable role as skills are valued more than location, despite some having a preferred geographic preference.

Read more about this company
 

System Software Engineer - Ubuntu Networking


Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp




As a Linux System Engineer, you will maintain and integrate core components involved in the network stack of the Ubuntu Distribution. You will be discussing design with other team members, upstream projects, mentor less senior engineers and participate in code reviews and design reviews. You will also be working with other teams to ensure architecture decisions improve the overall performance and experience of Ubuntu.

Location: The Foundations team is based in EMEA and Americas time zones, from UTC+4 to UTC-8.
What your day will look like

Collaborate proactively with a distributed team
Shape software-define networking products for evolving data centre architectures to meet ever-increasing bandwidth, reliability, security, and interoperability demands
Write high-quality, well-designed and well-documented software
Debug issues and produce high-quality code to fix them
Collaborate proactively with a globally distributed organisation
Contribute to technical documentation to make it the best of its kind
Display technical leadership internally, towards our partners, and in the open source communities
Influence open-source projects and communities
Shape innovative product strategies
Work from home, with global travel twice a year for company events of up to two weeks duration

What we are looking for in you

An exceptional academic track record from both high school and university
Undergraduate degree in Computer Science or STEM, or a compelling narrative about your alternative path
Drive and a track record of going above-and-beyond expectations
Knowledge of networking: architecture, design, and protocols
Deep understanding and passion for Linux networking, from kernel to user space
Professional experience with computer networks, including virtual networks, distributed systems as well as understanding of hardware offloading technologies.
Interest in systemd-networkd, NetworkManager, ModemManager, iwd, conman, bluez, iproute2, Open vSwitch, WireGuard and similar software components
Fluency in at least one of Golang, C/C++, Rust or Python
Professional written and spoken English
Experience with Linux (Debian or Ubuntu preferred)
Interest in packaging software for Debian and Ubuntu
Excellent interpersonal skills, curiosity, flexibility, and accountability
Passion, thoughtfulness, and self-motivation
Excellent communication and presentation skills
Result-oriented, with a personal drive to meet commitments
Ability to travel twice a year, for company events up to two weeks each

What we offer you
We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally.

Distributed work environment with twice-yearly team sprints in person
Personal learning and development budget of USD 2,000 per year
Annual compensation review
Recognition rewards
Annual holiday leave
Maternity and paternity leave
Employee Assistance Programme
Opportunity to travel to new locations to meet colleagues
Priority Pass, and travel upgrades for long haul company events








Method of Application 

Interested and qualified? Go to Canonical on boards.greenhouse.io to apply


Build your CV for free. Download in different templates.","Job Type Full Time , Remote
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Deimos,,,,
Senior Java Software Engineer,"View Jobs in ICT / Telecommunication
/
View Jobs at Deimos","Posted: Jun 12, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
Businesses today are adopting the cloud for improved services to their customers. Our purpose is to guide companies on that journey to drive the adoption of DevSecOps so that our clients can remain ahead of the curve. We have an intense focus on engineering fundamentals, whether Developer and Security Operations, Cloud Native Transformation Strategy or So...

Read more about this company
 

Senior Java Software Engineer


Job Type Remote
Qualification BA/BSc/HND
Experience 5 years
Location Nairobi
Job Field ICT / Computer&nbsp



Role Overview
Deimos is seeking a Senior Java Engineer to join our team, focusing on a client's account in the fintech sector. In this key role, you will develop and implement high-quality software solutions aimed at addressing significant issues impacting business and individuals across the continent.
You will collaborate closely with cross-functional teams to enhance the client's technology stack and public-facing products. This position presents a unique opportunity to contribute to a challenging project that aims to advance Africa's financial industry. You will make a meaningful impact in a dynamic environment.
What you will be doing

Design, develop, and maintain robust and scalable Java-based applications and systems.
Write clean, efficient, and well-documented code following best practices and coding standards.
Collaborate with technical product managers, software architects, and other stakeholders to understand requirements and translate them into user-facing solutions.
Participate in all phases of the software development lifecycle, including planning, estimation, development, testing, and deployment.
Conduct code reviews, provide constructive feedback, and mentor junior team members to foster continuous improvement.
Troubleshoot and debug complex issues, and implement effective solutions in a timely manner.
Stay updated on emerging technologies, industry trends, and best practices to enhance technical expertise and drive innovation.

What you must have

5+ years of experience in software development, with a strong focus on Java programming.
Proven track record of designing and implementing enterprise-level Java applications from concept to production.
Deep understanding of object-oriented design principles, data structures, algorithms, and design patterns.
Experience building web API using the Spring Boot framework.
Experience with web development technologies including HTML, CSS, JavaScript, and related frameworks (e.g., Angular, React).
Strong database skills with SQL and relational databases (e.g., MySQL, PostgreSQL, Oracle).
Familiarity with version control systems (e.g., Git) and continuous integration/continuous deployment (CI/CD) pipelines.
Excellent problem-solving skills, attention to detail, and ability to work effectively in a collaborative team environment.
Excellent communication skills with the ability to articulate technical concepts to non-technical stakeholders.
Experience with service-oriented architectures (including microservices) and containerization technologies (e.g., Docker, Kubernetes).

Preferred Qualifications:

Knowledge of cloud computing platforms such as AWS, Azure, or Google Cloud Platform.
Familiarity with Agile/Scrum methodologies and DevOps practices.
Certifications in Java programming or related technologies.

About you
For us to achieve our ambitious vision together as a team, it is important for our Martians to lead at all levels, be self starters who take initiative and put their hands up for challenging tasks. A Growth Mindset is important to us and we encourage all our Martians to openly share knowledge, support and help each other, ask questions, get creative with new technologies and learn from setbacks.
Becoming a Martian means:

Comfortably working and learning from a fully remote, culturally diverse team based predominantly in South Africa, Kenya, Nigeria and Ghana.
Being an open, honest and respectful communicator.
You enjoy asking questions, identifying areas of improvement and proposing solutions, no matter your job title or whether you have been with us for a day, a month or years!
You are comfortable taking initiative and operating independently.
You thrive in a fast paced environment, where change is constant.
You find it exciting to work with various clients, from different industries, each with a different problem for you and your team to solve.
Intentionally sharing tech and industry trends that excite you with your peers.
Seeking continuous feedback and actively taking steps to continuously grow personally and professionally.

Want to know what you get by joining us?

Become a member of a team where we value each individual's contribution from day 1 and empower you to make suggestions, get involved and do what you love most!
Flexibility and the freedom to work remotely.
Work-life balance where you are not expected to work over weekends or after hours.
A forward thinking remote company that knows how important it is to stay connected as one team, by providing virtual social platforms for employee engagement.
A monthly work from home allowance which you can use to set yourself up to work comfortably from home. Whether that is pens, notebooks, new headphones or work snacks!
A MacBook or Windows laptop for you to do your best work on.
Become part of a team of exceptionally clever and talented people who like to share their knowledge and learnings.
We support your career growth and love to celebrate your successes and advancement!








Method of Application 

Interested and qualified? Go to Deimos on deimoscloud.bamboohr.com to apply


Build your CV for free. Download in different templates.","Job Type Remote
Qualification BA/BSc/HND
Experience 5 years
Location Nairobi
Job Field ICT / Computer&nbsp"
About JMR Infotech,,,,
Software Engineer,"View Jobs in ICT / Telecommunication
/
View Jobs at JMR Infotech","Posted: Jun 10, 2024","Never pay for any CBT, test or assessment as part of any recruitment process. When in doubt, contact us
Founded in 2007, JMR Infotech is dedicated to help customers harness the power of information technology to transform the way they work and maintain a strong competitive edge.

Read more about this company
 

Software Engineer


Job Type Full Time
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp




We're looking for Technical Consultants to join our global implementation team for universal banking solutions. You'll be working with a talented crew to deploy cutting-edge banking tech, making a real difference for our clients worldwide.

Here's what you'll be doing:

Partner with client and JMR teams to implement next-gen banking solutions
Deep dive into technical tasks, development, and testing
Develop and Troubleshoot like a boss and solve complex problems

Skills:

Proficient in Java and J2EE
PL/SQL, stored procedures, triggers, and views
Understanding of Oracle databases
Knowledge of web services, JS, and XML/JSON
Experience with the software development lifecycle (SDLC)
Familiarity with Unix (Solaris, Linux, AIX)
Banking domain knowledge
Exposure to Core banking product, preferably, FCUBS is an added value

About You:

You're a team player who thrives in a collaborative environment
Independent, self-motivated, and a pro at problem-solving
Excellent Communication (written and verbal)
Knowledge of MS Office Products - Word, Excel, and PowerPoint








Method of Application 

Interested and qualified? Go to JMR Infotech on www.linkedin.com to apply


Build your CV for free. Download in different templates.","Job Type Full Time
Qualification BA/BSc/HND
Experience 
Location Nairobi
Job Field ICT / Computer&nbsp"
About Canonical,,,,
